都道府県名,西暦,人口
新潟県,1920,1776474
新潟県,1925,1849807
新潟県,1930,1933326
新潟県,1935,1995777
新潟県,1940,2064402
新潟県,1945,2389653
新潟県,1950,2460997
新潟県,1955,2473492
新潟県,1960,2442037
新潟県,1965,2398931
新潟県,1970,2360982
新潟県,1975,2391938
新潟県,1980,2451357
新潟県,1985,2478470
新潟県,1990,2474583
新潟県,1995,2488364
新潟県,2000,2475733
新潟県,2005,2431459
新潟県,2010,2374450
新潟県,2015,2304264
